School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Middle School,130,Bellevue Middle,40,37221,,,,,,,,184,161,170,157,,,,,2,36,227,85,,322,341,331,241,109,79,36.07074879,-86.93482036,"(36.07074879, -86.93482036)"
18-19,Elementary School,725,Tusculum Elementary,645,37211,8,61,160,139,135,142,119,,,,,,,,,,89,131,440,,104,386,378,479,66,539,36.06224212,-86.71899466,"(36.06224212, -86.71899466)"
18-19,Elementary School,186,Casa Azafran Early Learning Center,7020,37211,12,80,,,,,,,,,,,,,,1,1,20,37,,33,48,44,18,15,11,36.12651716,-86.75339875,"(36.12651716, -86.75339875)"
18-19,Elementary School,105,Amqui Elementary,10,37115,3,26,100,81,98,80,94,,,,,,,,,,2,206,202,,72,242,240,282,50,144,36.27376585,-86.70383153,"(36.27376585, -86.70383153)"
18-19,Elementary School,686,Smith Springs Elementary School,750,37013,31,61,122,104,102,110,118,,,,,,,,,,17,247,179,,205,317,331,249,101,152,36.08236383,-86.59548478,"(36.08236383, -86.59548478)"
18-19,Elementary School,685,Shwab Elementary,610,37207,12,41,54,52,50,53,53,,,,,,,,,1,1,90,184,,39,187,128,190,58,147,36.19990663,-86.77079229,"(36.19990663, -86.77079229)"
18-19,Charter,506,Knowledge Academy,8012,37013,,,,,,,,58,74,65,65,,,,,1,2,90,128,,41,134,128,100,35,114,36.04540154,-86.65199372,"(36.04540154, -86.65199372)"
18-19,Charter,594,Nashville Prep,8008,37209,,,,,,,,84,93,79,77,,,,,1,6,191,115,,20,155,178,187,48,92,36.16230587,-86.85533179,"(36.16230587, -86.85533179)"
18-19,Elementary School,690,Stanford Elementary,615,37214,52,55,70,54,57,57,58,,,,,,,,,3,23,114,42,1,220,225,178,88,46,29,36.17607628,-86.68231751,"(36.17607628, -86.68231751)"
18-19,Elementary School,455,Inglewood Elementary,360,37216,,37,34,35,38,29,29,,,,,,,,,,1,159,14,1,27,102,100,143,21,10,36.19783128,-86.72384064,"(36.19783128, -86.72384064)"
18-19,Charter,511,Knowledge Academies High School,8065,37013,,,,,,,,,,,,95,95,73,69,2,4,145,126,,55,181,151,100,48,69,36.04521202,-86.65187296,"(36.04521202, -86.65187296)"
18-19,Middle School,270,Dupont-Hadley Middle,190,37138,,,,,,,,149,163,148,163,,,,,2,9,193,78,,341,333,290,240,104,55,36.24977849,-86.64278911,"(36.24977849, -86.64278911)"
18-19,Middle School,111,Antioch Middle,23,37013,,,,,,,,177,242,208,176,,,,,,66,257,365,3,112,412,391,454,94,415,36.05537897,-86.67182989,"(36.05537897, -86.67182989)"
18-19,Middle School,577,Apollo Middle,25,37013,,,,,,,,211,239,219,175,,,,,2,37,255,404,,146,437,407,457,107,404,36.06687798,-86.66406971,"(36.06687798, -86.66406971)"
18-19,Elementary School,682,May Werthan Shayne Elementary School,608,37211,11,17,156,118,159,126,163,,,,,,,,,1,68,208,77,4,392,389,361,243,84,178,36.02103117,-86.71463119,"(36.02103117, -86.71463119)"
18-19,Charter,503,KIPP Nashville College Prep,8042,37207,,,,,,,,94,91,94,86,,,,,1,5,300,46,1,12,199,166,214,52,35,36.23750746,-86.80370654,"(36.23750746, -86.80370654)"
